,0,1,2,3,4
0,REQUEST: the request is wrong.,STATUS: number of digits or incorrect status number.,,,
1,SIZE: invalid literal for int() with base 10: '&&*',,,,
2,IP: @#¨% has not 4 parts.,DATE: time data '#$' does not match format '%d/%b/%Y:%H:%M:%S %z',REQUEST: the request is wrong.,STATUS: number of digits or incorrect status number.,SIZE: invalid literal for int() with base 10: '&&*'
3,DATE: time data '#$' does not match format '%d/%b/%Y:%H:%M:%S %z',STATUS: number of digits or incorrect status number.,SIZE: invalid literal for int() with base 10: '%%',,
4,DATE: time data '@#¨%' does not match format '%d/%b/%Y:%H:%M:%S %z',REQUEST: the request is wrong.,,,
5,STATUS: invalid literal for int() with base 10: '&&*',,,,
6,DATE: time data '@#¨%' does not match format '%d/%b/%Y:%H:%M:%S %z',,,,
7,DATE: time data '#$' does not match format '%d/%b/%Y:%H:%M:%S %z',,,,
8,IP: @#¨% has not 4 parts.,DATE: time data '%%' does not match format '%d/%b/%Y:%H:%M:%S %z',REQUEST: the request is wrong.,STATUS: number of digits or incorrect status number.,SIZE: invalid literal for int() with base 10: '&&*'
9,IP: %% has not 4 parts.,,,,
10,IP: %% has not 4 parts.,,,,
11,SIZE: invalid literal for int() with base 10: '@#¨%',,,,
12,IP: @#¨% has not 4 parts.,REQUEST: the request is wrong.,,,
13,IP: %% has not 4 parts.,REQUEST: the request is wrong.,STATUS: number of digits or incorrect status number.,SIZE: invalid literal for int() with base 10: '&&*',
14,IP: #$ has not 4 parts.,REQUEST: the request is wrong.,,,
15,REQUEST: the request is wrong.,,,,
16,SIZE: invalid literal for int() with base 10: '@#¨%',,,,
17,DATE: time data '&&*' does not match format '%d/%b/%Y:%H:%M:%S %z',REQUEST: the request is wrong.,SIZE: invalid literal for int() with base 10: '#$',,
18,IP: @#¨% has not 4 parts.,SIZE: invalid literal for int() with base 10: '@#¨%',,,
19,DATE: time data '&&*' does not match format '%d/%b/%Y:%H:%M:%S %z',REQUEST: the request is wrong.,,,
20,IP: @#¨% has not 4 parts.,REQUEST: the request is wrong.,SIZE: invalid literal for int() with base 10: '&&*',,
21,DATE: time data '&&*' does not match format '%d/%b/%Y:%H:%M:%S %z',REQUEST: the request is wrong.,STATUS: invalid literal for int() with base 10: '&&*',,
22,IP: #$ has not 4 parts.,DATE: time data '&&*' does not match format '%d/%b/%Y:%H:%M:%S %z',REQUEST: the request is wrong.,STATUS: number of digits or incorrect status number.,SIZE: invalid literal for int() with base 10: '@#¨%'
23,IP: &&* has not 4 parts.,DATE: time data '%%' does not match format '%d/%b/%Y:%H:%M:%S %z',REQUEST: the request is wrong.,,
24,IP: &&* has not 4 parts.,,,,
25,REQUEST: the request is wrong.,,,,
26,STATUS: number of digits or incorrect status number.,SIZE: invalid literal for int() with base 10: '%%',,,
27,IP: &&* has not 4 parts.,REQUEST: the request is wrong.,,,
28,DATE: time data '%%' does not match format '%d/%b/%Y:%H:%M:%S %z',REQUEST: the request is wrong.,STATUS: number of digits or incorrect status number.,,
